Date,Price,Open,High,Low,Vol.,Change %
9/7/2023,"1,243.14","1,245.50","1,255.11","1,240.82",1.13M,-0.19%
9/6/2023,"1,245.50","1,234.98","1,245.50","1,229.89",1.13M,0.85%
9/5/2023,"1,234.98","1,224.05","1,236.21","1,224.05",1.09M,0.89%
08/31/2023,"1,224.05","1,213.16","1,224.84","1,213.16",945.48K,0.90%
08/30/2023,"1,213.16","1,206.10","1,213.52","1,203.51",911.99K,0.72%
08/29/2023,"1,204.43","1,201.72","1,208.78","1,197.57",990.94K,0.23%
08/28/2023,"1,201.72","1,183.37","1,202.02","1,183.37",882.85K,1.55%
08/25/2023,"1,183.37","1,189.39","1,192.59","1,181.60",893.34K,-0.51%
08/24/2023,"1,189.39","1,172.56","1,189.99","1,171.33",851.54K,1.44%
08/23/2023,"1,172.56","1,180.49","1,193.79","1,168.89",747.18K,-0.67%
08/22/2023,"1,180.49","1,179.76","1,184.43","1,149.13",1.06M,0.06%
08/21/2023,"1,179.76","1,177.99","1,188.16","1,164.63",1.08M,0.15%
08/18/2023,"1,177.99","1,233.48","1,233.48","1,177.74",1.70M,-4.50%
08/17/2023,"1,233.48","1,242.58","1,243.98","1,233.48",1.11M,-0.79%
08/16/2023,"1,243.26","1,234.05","1,243.48","1,234.05",930.67K,0.75%
08/15/2023,"1,234.05","1,236.84","1,239.42","1,230.58",912.03K,-0.23%
08/14/2023,"1,236.84","1,232.21","1,239.61","1,229.04",1.11M,0.38%
8/11/2023,"1,232.21","1,220.61","1,232.21","1,213.37",1.01M,0.95%
8/10/2023,"1,220.61","1,233.99","1,238.19","1,220.61",1.01M,-1.08%
8/9/2023,"1,233.99","1,242.23","1,242.23","1,231.28",1.09M,-0.66%
8/8/2023,"1,242.23","1,241.42","1,246.22","1,239.01",1.19M,0.07%
8/7/2023,"1,241.42","1,233.10","1,241.42","1,230.38",1.30M,1.26%
8/4/2023,"1,225.98","1,210.95","1,228.12","1,210.95",1.13M,1.24%
8/3/2023,"1,210.95","1,219.73","1,222.35","1,209.06",1.03M,-0.78%
8/2/2023,"1,220.43","1,217.56","1,223.04","1,213.18",940.81K,0.24%
8/1/2023,"1,217.56","1,222.90","1,234.50","1,217.56",1.28M,-0.44%
07/31/2023,"1,222.90","1,207.67","1,224.81","1,207.67",1.20M,1.26%
07/28/2023,"1,207.67","1,197.33","1,207.67","1,195.86",1.11M,0.86%
07/27/2023,"1,197.33","1,200.84","1,203.69","1,191.08",1.16M,-0.29%
07/26/2023,"1,200.84","1,195.90","1,200.84","1,195.44",912.30K,0.41%
07/25/2023,"1,195.90","1,190.72","1,199.27","1,190.72",1.00M,0.44%
07/24/2023,"1,190.72","1,185.90","1,193.22","1,183.39",1.04M,0.41%
07/21/2023,"1,185.90","1,172.81","1,185.90","1,172.07",988.09K,1.12%
07/20/2023,"1,172.81","1,172.98","1,174.39","1,166.62",796.61K,-0.01%
07/19/2023,"1,172.98","1,174.09","1,178.55","1,172.98",896.65K,-0.09%
07/18/2023,"1,174.09","1,173.13","1,175.70","1,170.04",837.14K,0.08%
07/17/2023,"1,173.13","1,171.75","1,174.89","1,168.77",914.62K,0.40%
07/14/2023,"1,168.40","1,165.42","1,169.84","1,156.28",1.04M,0.26%
07/13/2023,"1,165.42","1,154.20","1,165.42","1,154.20",806.74K,0.97%
7/12/2023,"1,154.20","1,151.77","1,157.43","1,149.28",788.16K,0.21%
7/11/2023,"1,151.77","1,149.02","1,157.01","1,149.02",936.91K,0.24%
7/10/2023,"1,149.02","1,138.07","1,149.02","1,138.07",879.43K,0.96%
